"Universidad del Valle de Guatemala","Plan de estudios","READECUACION CURRICULAR 2015","Carrera:",2800,"LICENCIATURA EN INGENIERIA ELECTRONICA","Fecha:",08/03/2016,"Carga anual:",12,"Pensum abierto:","No","Año","1","Ciclo","2","FF2016","437",," (CATEGORIA: CIENCIA BÁSICA DE LA PROFESIÓN)","FISICA 1","Curso aprobado",,"CU169","426","PENSAMIENTO CUANTITATIVO","Cursos en ciclo:",3.00,"Créditos en ciclo:",16.00,"Cursos en año:",11.00,"Créditos en año:",47.00,"Total Cursos:",11.00,"TotalCréditos:",47.00,01/08/2018, 6:58:28p. m.,"Página -1 de 1"
"Universidad del Valle de Guatemala","Plan de estudios","READECUACION CURRICULAR 2015","Carrera:",2800,"LICENCIATURA EN INGENIERIA ELECTRONICA","Fecha:",08/03/2016,"Carga anual:",12,"Pensum abierto:","No","Año","1","Ciclo","2","CU171","303",," (CATEGORIA: FORMACIÓN GENERAL)","CIUDADANIA GLOBAL",,,,,,"Cursos en ciclo:",4.00,"Créditos en ciclo:",19.00,"Cursos en año:",12.00,"Créditos en año:",50.00,"Total Cursos:",12.00,"TotalCréditos:",50.00,01/08/2018, 6:58:28p. m.,"Página -1 de 1"
"Universidad del Valle de Guatemala","Plan de estudios","READECUACION CURRICULAR 2015","Carrera:",2800,"LICENCIATURA EN INGENIERIA ELECTRONICA","Fecha:",08/03/2016,"Carga anual:",12,"Pensum abierto:","No","Año","1","Ciclo","2","CU170","404",," (CATEGORIA: FORMACIÓN GENERAL)","ESTADISTICA 1","Curso aprobado",,"CU169","426","PENSAMIENTO CUANTITATIVO","Cursos en ciclo:",5.00,"Créditos en ciclo:",23.00,"Cursos en año:",13.00,"Créditos en año:",54.00,"Total Cursos:",13.00,"TotalCréditos:",54.00,01/08/2018, 6:58:28p. m.,"Página -1 de 1"
"Universidad del Valle de Guatemala","Plan de estudios","READECUACION CURRICULAR 2015","Carrera:",2800,"LICENCIATURA EN INGENIERIA ELECTRONICA","Fecha:",08/03/2016,"Carga anual:",12,"Pensum abierto:","No","Año","1","Ciclo","2","IM2012","224",," (CATEGORIA: CIENCIA BÁSICA DE LA PROFESIÓN)","DIBUJO MECANICO",,,,,,"Cursos en ciclo:",6.00,"Créditos en ciclo:",27.00,"Cursos en año:",14.00,"Créditos en año:",58.00,"Total Cursos:",14.00,"TotalCréditos:",58.00,01/08/2018, 6:58:28p. m.,"Página -1 de 1"
"Universidad del Valle de Guatemala","Plan de estudios","READECUACION CURRICULAR 2015","Carrera:",2800,"LICENCIATURA EN INGENIERIA ELECTRONICA","Fecha:",08/03/2016,"Carga anual:",12,"Pensum abierto:","No","Año","2","Ciclo","1","IE2008","336",," (CATEGORIA: CIENCIA BÁSICA DE LA PROFESIÓN)","CIRCUITOS ELECTRICOS 1","Curso aprobado",,"FF2016","437","FISICA 1","Cursos en ciclo:",1.00,"Créditos en ciclo:",6.00,"Cursos en año:",1.00,"Créditos en año:",6.00,"Total Cursos:",15.00,"TotalCréditos:",64.00,01/08/2018, 6:58:28p. m.,"Página -1 de 1"
"Universidad del Valle de Guatemala","Plan de estudios","READECUACION CURRICULAR 2015","Carrera:",2800,"LICENCIATURA EN INGENIERIA ELECTRONICA","Fecha:",08/03/2016,"Carga anual:",12,"Pensum abierto:","No","Año","2","Ciclo","1","IE2009","235",," (CATEGORIA: CIENCIA BÁSICA DE LA PROFESIÓN)","PROGRAMACION DE MICROCONTROLADORES","Curso aprobado",,"CC2005","404","ALGORITMOS Y PROGRAMACION BASICA","Cursos en ciclo:",2.00,"Créditos en ciclo:",11.00,"Cursos en año:",2.00,"Créditos en año:",11.00,"Total Cursos:",16.00,"TotalCréditos:",69.00,01/08/2018, 6:58:28p. m.,"Página -1 de 1"
"Universidad del Valle de Guatemala","Plan de estudios","READECUACION CURRICULAR 2015","Carrera:",2800,"LICENCIATURA EN INGENIERIA ELECTRONICA","Fecha:",08/03/2016,"Carga anual:",12,"Pensum abierto:","No","Año","2","Ciclo","1","IE2009","235",," (CATEGORIA: CIENCIA BÁSICA DE LA PROFESIÓN)","PROGRAMACION DE MICROCONTROLADORES","Curso aprobado",,"IE2016","303","CIENCIA DE MATERIALES ELECTRONICOS 1","Cursos en ciclo:",2.00,"Créditos en ciclo:",11.00,"Cursos en año:",2.00,"Créditos en año:",11.00,"Total Cursos:",16.00,"TotalCréditos:",69.00,01/08/2018, 6:58:28p. m.,"Página -1 de 1"
"Universidad del Valle de Guatemala","Plan de estudios","READECUACION CURRICULAR 2015","Carrera:",2800,"LICENCIATURA EN INGENIERIA ELECTRONICA","Fecha:",08/03/2016,"Carga anual:",12,"Pensum abierto:","No","Año","2","Ciclo","1","FF2017","437",," (CATEGORIA: CIENCIA BÁSICA DE LA PROFESIÓN)","FISICA 2","Curso aprobado",,"FF2016","437","FISICA 1","Cursos en ciclo:",3.00,"Créditos en ciclo:",18.00,"Cursos en año:",3.00,"Créditos en año:",18.00,"Total Cursos:",17.00,"TotalCréditos:",76.00,01/08/2018, 6:58:28p. m.,"Página -1 de 1"
"Universidad del Valle de Guatemala","Plan de estudios","READECUACION CURRICULAR 2015","Carrera:",2800,"LICENCIATURA EN INGENIERIA ELECTRONICA","Fecha:",08/03/2016,"Carga anual:",12,"Pensum abierto:","No","Año","2","Ciclo","1","CU172","303",," (CATEGORIA: FORMACIÓN GENERAL)","GUATEMALA EN EL CONTEXTO MUNDIAL",,,,,,"Cursos en ciclo:",4.00,"Créditos en ciclo:",21.00,"Cursos en año:",4.00,"Créditos en año:",21.00,"Total Cursos:",18.00,"TotalCréditos:",79.00,01/08/2018, 6:58:28p. m.,"Página -1 de 1"
"Universidad del Valle de Guatemala","Plan de estudios","READECUACION CURRICULAR 2015","Carrera:",2800,"LICENCIATURA EN INGENIERIA ELECTRONICA","Fecha:",08/03/2016,"Carga anual:",12,"Pensum abierto:","No","Año","2","Ciclo","1","MM2002","404",," (CATEGORIA: CIENCIA BÁSICA DE LA PROFESIÓN)","ALGEBRA LINEAL 1","Curso aprobado",,"CU169","426","PENSAMIENTO CUANTITATIVO","Cursos en ciclo:",5.00,"Créditos en ciclo:",25.00,"Cursos en año:",5.00,"Créditos en año:",25.00,"Total Cursos:",19.00,"TotalCréditos:",83.00,01/08/2018, 6:58:28p. m.,"Página -1 de 1"
"Universidad del Valle de Guatemala","Plan de estudios","READECUACION CURRICULAR 2015","Carrera:",2800,"LICENCIATURA EN INGENIERIA ELECTRONICA","Fecha:",08/03/2016,"Carga anual:",12,"Pensum abierto:","No","Año","2","Ciclo","1","MM2001","404",," (CATEGORIA: CIENCIA BÁSICA DE LA PROFESIÓN)","CALCULO 2","Curso aprobado",,"MM2028","426","CALCULO 1","Cursos en ciclo:",6.00,"Créditos en ciclo:",29.00,"Cursos en año:",6.00,"Créditos en año:",29.00,"Total Cursos:",20.00,"TotalCréditos:",87.00,01/08/2018, 6:58:28p. m.,"Página -1 de 1"
"Universidad del Valle de Guatemala","Plan de estudios","READECUACION CURRICULAR 2015","Carrera:",2800,"LICENCIATURA EN INGENIERIA ELECTRONICA","Fecha:",08/03/2016,"Carga anual:",12,"Pensum abierto:","No","Año","2","Ciclo","2","IE2010","336",," (CATEGORIA: CIENCIA BÁSICA DE LA PROFESIÓN)","CIRCUITOS ELECTRICOS 2","Curso aprobado",,"IE2008","336","CIRCUITOS ELECTRICOS 1","Cursos en ciclo:",1.00,"Créditos en ciclo:",6.00,"Cursos en año:",7.00,"Créditos en año:",35.00,"Total Cursos:",21.00,"TotalCréditos:",93.00,01/08/2018, 6:58:28p. m.,"Página -1 de 1"
